UID	DURATION	FILENAME				
2008-09-10-a	4:13	Ctama_Creer_MAL304_momowtia-ehekat_2008-09-10-a.wav				
2008-09-10-b	4:35	Ctama_Tradi_PAL305_nenaamiktiilis_2008-09-10-b.wav				
2008-09-10-c	8:36	Ctama_MatCl_GVJ306_tahkit_2008-09-10-c.wav				
2008-09-11-a	4:18	Chilc_Botan_RMM302_aakwitaxoochit-teenkwaakwalaxoochit-Acanthaceae_2008-09-11-a.wav				
2008-09-11-b	5:11	Chilc_Botan_RMM302_moosoot-Asteraceae_2008-09-11-b.wav				
2008-09-11-c	2:44	Chilc_Botan_RMM302_ahwachmaamaani-Onagraceae_2008-09-11-c.wav				
2008-09-11-d	3:25	Chilc_Botan_RMM302_tanokwilpahxiwit-Verbenaceae_2008-09-11-d.wav				
2008-09-11-e	3:35	Chilc_Botan_RMM302_teposihyaak-Lamiaceae_2008-09-11-e.wav				
2008-09-11-f	4:53	Chilc_Botan_RMM302_xoonoot-Tiliaceae_2008-09-11-f.wav				
2008-09-11-g	4:06	Chilc_Botan_RMM302_eskowit-Euphorbiaceae_2008-09-11-g.wav				
2008-09-11-h	3:44	Chilc_Botan_RMM302_tahchinoolxiwit-Hypericaceae_2008-09-11-h.wav				
2008-09-11-i	1:51	Chilc_Medic_RMM302_nemowtil-espanto_2008-09-11-i.wav				
2008-09-11-j	3:05	Chilc_Botan_RMM302_tsotsokaxiwit-poopototsiin-Asclepiadaceae_2008-09-11-j.wav				
2008-09-11-k	5:07	Chilc_Botan_RMM302_piinaawits-Leguminosae_2008-09-11-k.wav				
2008-09-11-l	6:35	Chilc_Botan_RMM302_chalawih-Leguminosae_2008-09-11-l.wav				
2008-09-12-a	5:03	Chilc_Botan_RMM302_chalawih-Leguminosae_2008-09-12-a.wav				
2008-09-12-b	6:39	Chilc_Botan_RMM302_xaalkapolin-Melastomataceae_2008-09-12-b.wav				
2008-09-12-c	3:39	Chilc_Botan_RMM302_witsikiteempiil-Rubiaceae_2008-09-12-c.wav				
2008-09-12-d	1:47	Chilc_Botan_RMM302_Rubiaceae-witsikiteempiil_2008-09-12-d.wav				
2008-09-12-e	6:34	Chilc_Botan_RMM302_itskwinpahwits-Solanaceae_2008-09-12-e.wav				
2008-09-12-f	3:11	Chilc_Botan_RMM302_Boraginaceae-y-Familia-pendiente-wiwilakani_2008-09-12-f.wav				
2008-09-12-g	4:24	Chilc_Botan_RMM302_ihchayakani-Leguminosae_2008-09-12-g.wav				
2008-09-12-h	5:24	Chilc_Botan_RMM302_teempaawaxiwit-Malvaceae_2008-09-12-h.wav				
2008-09-12-i	4:04	Chilc_Botan_RMM302_ochpaawaas-Malvaceae_2008-09-12-i.wav				
2008-09-12-j	6:45	Chilc_Botan_RMM302_maatalin-Commelinaceae_2008-09-12-j.wav				
2008-09-12-k	4:11	Chilc_Botan_RMM302_aapahkamoh-Dioscoreaceae_2008-09-12-k.wav				
2008-09-12-l	5:09	Chilc_Botan_RMM302_tomakilit-Solanaceae_2008-09-12-l.wav				
2008-09-13-a	2:53	Chilc_Botan_RMM302_tomakilit-Solanaceae_2008-09-13-a.wav				
2008-09-13-b	5:20	Chilc_Botan_RMM302_tekowit-Myrtaceae_2008-09-13-b.wav				
2008-09-13-c	8:21	Chilc_Botan_RMM302_waaxin-Leguminosae_2008-09-13-c.wav				
2008-09-13-d	4:06	Chilc_Botan_RMM302_piinaawits-Leguminosae_2008-09-13-d.wav				
2008-09-13-e	8:40	Chilc_Botan_RMM302_ehkaw-Asteraceae_2008-09-13-e.wav				
2009-09-20-a	56:12	Tzina_MatCl_JSI331_keeniiw-see-mochaantia-como-se-construye-casa_2009-09-20-a.wav				
2009-09-20-b	13:23	Tzina_Agric_JSI331_tatooka-siembra-de-maiz_2009-09-20-b.wav				
2009-09-20-c	26:08	Tzina_MatCl_JSI331_kalchiiwa-construccion-de-casa_2009-09-20-c-.wav				
2009-09-20-d	3:29	Tzina_Tradi_JSI331_kruzkechia-kali-poner-cruz-terminar-casa_2009-09-20-d.wav				
2009-09-20-e	6:58	Tzina_MatCl_RMM302_construccion-de-casas-en-el-pasado_2009-09-20-e.wav				
2009-09-20-f	15:50	Tzina_MatCl_RMM302_kalkowit-madera-para-construccion-de-casas_2009-09-20-f.wav				
2009-09-20-g	40:37	Tzina_Agric_RMM302_tatooka-siembra-de-maiz_2009-09-20-g.wav				
2009-09-20-h	43:10	Tzina_Narra_RMM302_experiencia-como-socio-Toseepan_2009-09-09-h.wav				
2009-09-20-i	9:22	Tzina_Narra_RMM302_Testimonio-ihwaak-pili-katka_2009-09-20-i.wav				
2009-09-21-a	10:01	Tzina_Comid_PGC334_tamalchiiwa-preparacion-tamales_2009-09-21-a.wav				
2009-09-21-b	13:34	Limon_Narra_MHJ337_Testimonio-de-vida_2009-09-21-b.wav				
2009-09-22-a	18:34	Tzina_Medic_RMM302_kokolismeh-enfermedades_2009-09-22-a.wav				
2009-09-22-b	18:37	Tzina_Medic_RMM302_keeyeeh-mitsahsi-kokolis-porque-se-enferma_2009-09-22-b.wav				
2009-09-22-c	32:26	Tzina_Medic_RMM302_kiyeektaalia-omit-huesero-pt-1_2009-09-22-c.wav				
2009-09-22-d	9:03	Tzina_Medic_RMM302_kiyeektaalia-omit-huesero-pt-2_2009-09-22-d.wav				
2009-09-22-e	14:42	Tzina_Medic_RMM302_taman-tataxis-tipos-de-tos_2009-09-22-e.wav				
2009-09-22-f	9:38	Tzina_Botan_RMM302_nanakat-kanachi-taman-tipos-de-hongos_2009-09-22-f.wav				
