UID	DURATION	FILENAME
2019-06-21-b	1:04	Tepet_BotFl_CRF402-JFx414_84091_Asteraceae-Erigeron_2019-06-21-b.wav
2019-06-21-d	0:50	Tepet_BotFl_CRF402-JFx414_84092_Asteraceae-Bidens_2019-06-21-d.wav
2019-06-21-f	0:51	Tepet_BotFl_CRF402-JFx414_84093_Oxalidaceae-Oxalis_2019-06-21-f.wav
2019-06-21-h	0:43	Tepet_BotFl_CRF402-JFx414_84094_Solanaceae-Solanum_2019-06-21-h.wav
2019-06-21-j	0:49	Tepet_BotFl_CRF402-JFx414_84095_Plantaginaceae-Lophospermum_2019-06-21-j.wav
2019-06-21-l	0:49	Tepet_BotFl_CRF402-JFx414_84096_Asteraceae-Leiboldia_2019-06-21-l.wav
2019-06-21-n	1:04	Tepet_BotFl_CRF402-JFx414_84097_Piperaceae-Piper_2019-06-21-n.wav
2019-06-21-p	0:43	Tepet_BotFl_CRF402-JFx414_84098_Solanaceae-Solanum_2019-06-21-p.wav
2019-06-21-r	1:10	Tepet_BotFl_CRF402-JFx414_84099_Actinidiaceae-Saurauia_2019-06-21-r.wav
2019-06-21-t	0:38	Tepet_BotFl_CRF402-JFx414_84100_Boraginaceae-Cynoglossum_2019-06-21-t.wav
2019-06-22-b	0:48	Tepet_BotFl_CRF402-JFx414_84101_Convolvulaceae-Ipomoea_2019-06-22-b.wav
2019-06-22-d	0:33	Tepet_BotFl_CRF402-JFx414_84102_Vitaceae-Vitis_2019-06-22-d.wav
2019-06-22-f	0:47	Tepet_BotFl_CRF402-JFx414_84103_Betulaceae-Alnus_2019-06-22-f.wav
2019-06-22-h	0:38	Tepet_BotFl_CRF402-JFx414_84104_Urticaceae-Urera_2019-06-22-h.wav
2019-06-22-j	0:59	Tepet_BotFl_CRF402-JFx414_84105_Solanaceae-Cestrum_2019-06-22-j.wav
2019-06-22-l	0:53	Tepet_BotFl_CRF402-JFx414_84106_Celastraceae-Wimmeria_2019-06-22-l.wav
2019-06-22-n	0:57	Tepet_BotFl_CRF402-JFx414_84107_Lauraceae-Litsea_2019-06-22-n.wav
2019-06-22-p	1:51	Tepet_BotFl_CRF402-JFx414_84108_Euphorbiaceae-Ricinus_2019-06-22-p.wav
2019-06-22-r	0:55	Tepet_BotFl_CRF402-JFx414_84109_Malvaceae-Malvaviscus_2019-06-22-r.wav
2019-06-22-t	0:52	Tepet_BotFl_CRF402-JFx414_84110_Verbenaceae-Lantana_2019-06-22-t.wav
2019-06-22-v	0:59	Tepet_BotFl_CRF402-JFx414_84111_Leguminosae-Zapoteca_2019-06-22-v.wav
2019-06-23-b	1:11	Tepet_BotFl_CRF402-JFx414_84112_Basellaceae-Anredera_2019-06-23-b.wav
2019-06-23-d	0:55	Tepet_BotFl_CRF402-JFx414_84113_Campanulaceae-Lobelia_2019-06-23-d.wav
2019-06-23-f	0:40	Tepet_BotFl_CRF402-JFx414_84114_Lamiaceae-Scutellaria_2019-06-23-f.wav
2019-06-23-h	0:58	Tepet_BotFl_CRF402-JFx414_84115_Lamiaceae-Salvia_2019-06-23-h.wav
2019-06-23-j	1:23	Tepet_BotFl_CRF402-JFx414_84116_Phytolaccaceae-Phytolacca_2019-06-23-j.wav
2019-06-23-l	1:15	Tepet_BotFl_CRF402-JFx414_84117_Platanaceae-Platanus_2019-06-23-l.wav
2019-06-23-n	1:13	Tepet_BotFl_CRF402-JFx414_84118_Solanaceae-Solanum_2019-06-23-n.wav
2019-06-23-p	1:27	Tepet_BotFl_CRF402-JFx414_84119_Arecaceae-Chamaedorea_2019-06-23-p.wav
2019-06-23-r	1:00	Tepet_BotFl_CRF402-JFx414_84120_Papaveraceae-Bocconia_2019-06-23-r.wav
2019-06-23-t	1:16	Tepet_BotFl_CRF402-JFx414_84121_Rhamnaceae-Frangula_2019-06-23-t.wav
2019-07-09-b	0:47	Tepet_BotFl_CRF402-JFx414_84122_Apocynaceae-Asclepias_2019-07-09-b.wav
2019-07-09-d	0:49	Tepet_BotFl_CRF402-JFx414_84123_Malpighiaceae-Bunchosia_2019-07-09-d.wav
2019-07-09-f	1:03	Tepet_BotFl_CRF402-JFx414_84124_Onagraceae-Oenothera_2019-07-09-f.wav
2019-07-09-h	0:53	Tepet_BotFl_CRF402-JFx414_84125_Calceolariaceae-Calceolaria_2019-07-09-h.wav
2019-07-09-j	0:55	Tepet_BotFl_CRF402-JFx414_84126_Verbenaceae-Glandularia_2019-07-09-j.wav
2019-07-09-l	0:57	Tepet_BotFl_CRF402-JFx414_84127_Amaranthaceae-Amaranthus_2019-07-09-l.wav
2019-07-09-n	0:49	Tepet_BotFl_CRF402-JFx414_84128_Polemoniaceae-Cobaea_2019-07-09-n.wav
2019-07-09-p	1:01	Tepet_BotFl_CRF402-JFx414_84129_Cornaceae-Cornus_2019-07-09-p.wav
2019-07-09-r	1:14	Tepet_BotFl_CRF402-JFx414_84130_Leguminosae-Senna_2019-07-09-r.wav
2019-07-09-t	0:58	Tepet_BotFl_CRF402-JFx414_84131_Acanthaceae-Ruellia_2019-07-09-t.wav
2019-07-09-v	0:58	Tepet_BotFl_CRF402-JFx414_84132_Primulaceae-Pendiente_2019-07-09-v.wav
2019-07-09-x	1:05	Tepet_BotFl_CRF402-JFx414_84133_Primulaceae-Pendiente_2019-07-09-x.wav
2019-07-10-b	0:53	Tepet_BotFl_CRF402-JFx414_84134_Ranunculaceae-Thalictrum_2019-07-10-b.wav
2019-07-10-d	1:03	Tepet_BotFl_CRF402-JFx414_84135_Solanaceae-Jaltomata_2019-07-10-d.wav
2019-07-10-f	0:43	Tepet_BotFl_CRF402-JFx414_84136_Urticaceae-Pendiente_2019-07-10-f.wav
