ID_Exp,Hash,Languages,Model,Audio_Length,Image_Amount,Parameters,Split_Seed,hasSilence,Results,Audio_Folders_Used,Notes
EXP0,0b496566775ba9b7d083773de7920882,"['español', maya']",MobileNetV2,,"{'maya: 1704, 'español': 2216}","{'batch_size': 10, 'frequency': 22050}",0,True, Accuracy: 0.8717 Recall: 0.8058 Precision: 0.8954 F1: 0.8482,"['audios/mayan/original', 'audios/spanish/original']",
EXP1,4f33ad74866f186ba3349292c24b95e4,"['español', maya']",ResNet50,,"{'maya: 1704, 'español': 2216}","{'batch_size': 10, 'frequency': 22050}",0,True,Accuracy: 0.8926 Recall: 0.9235 Precision: 0.8926 F1: 0.8845,"['audios/mayan/original', 'audios/spanish/original']",
EXP2,8e2ad7848b530cd30f3033c059575ff7,"['español', maya']",ResNet152,,"{'maya: 1704, 'español': 2216}","{'batch_size': 10, 'frequency': 22050}",0,True,Accuracy: 0.9057 Recall: 0.9647 Precision: 0.8453 F1: 0.9010,"['audios/mayan/original', 'audios/spanish/original']",
EXP3,661ef3f7a251be73717ddcb68a5f9a8d,"['maya', 'nahuatl']",MobileNetV3Small,,"{'maya': 1705, 'nahuatl': 1747}","{'batch_size': 10, 'frequency': 22050}",0,True,Accuracy: 0.9739884393063584 Recall: 0.9473684210526315 Precision: 1.0 F1 Score: 0.972972972972973,"['audios/mayan/original', 'audios/nahuatl/nahuatl_ten_seconds']",
EXP4,14f3bb37616a4b1ef59a869177cace7b,"['maya', 'nahuatl']",MobileNetV3Large,,"{'maya': 1705, 'nahuatl': 1747}","{'batch_size': 10, 'frequency': 22050}",0,True,Accuracy: 0.9393063583815029 Recall: 0.9883040935672515 Precision: 0.898936170212766 F1 Score: 0.9415041782729805,"['audios/mayan/original', 'audios/nahuatl/nahuatl_ten_seconds']",
EXP5,411fb2145dd634ad459bd6b49a8010b5,"['maya', 'nahuatl']",ResNet152V2,,"{'maya': 1705, 'nahuatl': 1747}","{'batch_size': 10, 'frequency': 22050}",0,True,Accuracy: 0.9609261939218524 Recall: 0.9384164222873901 Precision: 0.9815950920245399 F1 Score: 0.95952023988006,"['audios/mayan/original', 'audios/nahuatl/nahuatl_ten_seconds']",
EXP6,359ddbc52e88781f3b8585b804a15ca1,"['maya', 'nahuatl']",ResNet152V2,,"{'maya': 1705, 'nahuatl': 1747}","{'batch_size': 10, 'frequency': 16000}",1,True,Accuracy: 0.8581765557163531 Recall: 0.967741935483871 Precision: 0.7913669064748201 F1 Score: 0.8707124010554089,"['audios/mayan/original', 'audios/nahuatl/nahuatl_ten_seconds']",
EXP7,ab738ea3d76989ea2f5dba0a8efb8b7b,"['maya', 'nahuatl']",ResNet152V2,,"{'maya': 1705, 'nahuatl': 1747}","{'batch_size': 10, 'frequency': 16000}",2,True,Accuracy: 0.9551374819102749 Recall: 0.9853372434017595 Precision: 0.9281767955801105 F1 Score: 0.9559032716927454,"['audios/mayan/original', 'audios/nahuatl/nahuatl_ten_seconds']",
EXP8,6b93eecd960fadfa92f54f66aa0f5aa5,"['maya', 'nahuatl']",EfficientNetB7,,"{'maya': 1705, 'nahuatl': 1747}","{'batch_size': 10, 'frequency': 16000}",2,True,Accuracy: 0.9956584659913169 Recall: 0.9912023460410557 Precision: 1.0 F1 Score: 0.9955817378497791,"['audios/mayan/original', 'audios/nahuatl/nahuatl_ten_seconds']",
EXP9,7b031fd987503fdb02066a59921624be,"['maya', 'nahuatl']",ResNet152V2,1.0,"{'maya': 2500, 'nahuatl': 2500}","{'batch_size': 10, 'frequency': 16000}",1,False,Accuracy: 0.938 Recall: 0.878 Precision: 0.9977272727272727 F1 Score: 0.9340425531914893,"['audios\mayan\mayan_one_second, 'audios/nahuatl/nahuatl_one_second]'", silence was removed with Audacity
EXP10,ab2f06fe983b32bea4ce325892e1fe9d,"['maya', 'nahuatl']",ResNet152V2,,"{'maya': 920, 'nahuatl': 920}","{'batch_size': 10, 'frequency': 16000, 'learning_rate': '1-e4'}",1,True,Accuracy: 0.970108695652174 Recall: 0.9836956521739131 Precision: 0.9576719576719577 F1: 0.9705093833780161, "['audios/mayan/mayan_without_maasab_corpus', 'audios/nahuatl/nahuatl_ten_seconds']", maasab corpus was not included
